date,number,code,login,version,payway,chargePeriod_text,chargeYear,coveragePeriod,coverageYear,plan,unit,getamount,payamount,customizedPrem,flexible,paytype,annualmoney,addcode0,addpaytype0,addperiod0,addyear0,addamount0,addplan0,addunit0,addcode1,addpaytype1,addperiod1,addyear1,addamount1,addplan1,addunit1
105/05/08,00000589530,KHD7,STDB0001,D7,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589510,LWY,STDB0001,6,00,3,20,3,105,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589520,HDA,STDB0001,1,12,2,60,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589070,KHJJ,STDB0001,JJb,12,0,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589080,KHEI,STDB0001,EI,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589090,HCB,STDB0001,9,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,1,1,10,10000
105/05/08,00000589100,KH26,STDB0001,26,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589470,KHGB,STDB0001,GBb,12,1,20,1,1,1,1,600000,100000,100000,10000,12,30000,40,XDR,1,1,10,10000
105/05/08,00000589480,SNE,STDB0001,E,00,3,20,1,1,1,1,300003,100003,100004,10003,12,30000,XDR,1,1,10,10000
105/05/08,00000589490,KHEI,STDB0001,EI,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589110,QWC,STDB0001,D,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589120,MDD,STDB0001,G,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589130,QIS,STDB0001,I,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589140,TAWL,STDB0001,5,12,1,20,1,1,1,1,300001,100001,100001,10001,12,30000,XDR,1,1,10,10000
105/05/08,00000589150,AXATL,STDB0001,5,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589160,DSC,STDB0001,F,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589170,KHFH,STDB0001,FH,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589180,KHG1,STDB0001,G1,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589190,KHJZ,STDB0001,JZb,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,SVSA,XDR,1,1,10,10000
105/05/08,00000589200,QWC,STDB0001,D,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589210,QTL,STDB0001,G,12,1,20,1,1,1,1,1000000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589220,RWA,STDB0001,1,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589230,NPH,STDB0001,G,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589240,FIS,STDB0001,I,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589250,IOAG,STDB0001,5,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589260,LDA,STDB0001,E,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589270,LDB,STDB0001,E,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589280,KHGG,STDB0001,GGb,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589290,KHHJ,STDB0001,HJ,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589300,KHI4,STDB0001,I4,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589310,KHJT,STDB0001,JTb,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589320,KHJV,STDB0001,JVb,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589330,KH70,STDB0001,70,12,2,60,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589340,KHD6,STDB0001,D6,12,1,20,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589450,KHBF,STDB0001,BFb,12,0,60,1,1,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
105/05/08,00000589460,NPM,STDB0001,A,12,0,20,3,110,1,1,300000,100000,100000,10000,12,30000,XDR,1,1,10,10000
